ID,Sex,Spayed_or_not,Birthday
094-006144,Female,Neutered,2012-04
094-006156,Male,Neutered,2012-04
094-006160,Male,Neutered,2011-12
094-006167,Female,Neutered,2011-09
094-006181,Female,Neutered,2012-03
094-006238,Male,Intact,2012-05
094-006253,Male,Neutered,2012-10
094-006261,Female,Intact,2012-09
094-006266,Male,Neutered,2011-06
094-006279,Male,Neutered,2012-08
094-006284,Male,Neutered,2011-08
094-006291,Male,Neutered,2012-08
094-006314,Male,Neutered,2010-06
094-006316,Female,Neutered,2011-04
094-006324,Female,Intact,2012-04
094-006342,Male,Neutered,2011-12
094-006352,Male,Neutered,2011-09
094-006360,Female,Neutered,2012-02
094-006379,Female,Neutered,2012-01
094-006381,Female,Neutered,2012-02
094-006385,Female,Neutered,2011-05
094-006402,Male,Neutered,2012-05
094-006404,Male,Neutered,2012-06
094-006408,Female,Neutered,2011-11
094-006414,Male,Intact,2012-05
094-006424,Female,Intact,2012-08
094-006434,Female,Neutered,2012-06
094-006438,Male,Neutered,2012-08
094-006443,Male,Neutered,2012-03
094-006464,Female,Neutered,2012-02
094-006474,Female,Intact,2011-11
094-006476,Female,Neutered,2011-06
094-006494,Female,Neutered,2011-06
094-006500,Female,Neutered,2011-05
094-006525,Male,Neutered,2012-09
094-006531,Male,Neutered,2011-07
094-006542,Female,Neutered,2012-07
094-006578,Male,Neutered,2012-10
094-006594,Female,Neutered,2011-05
094-006614,Male,Neutered,2012-01
094-006632,Female,Intact,2012-03
094-006640,Male,Neutered,2012-01
094-006682,Female,Neutered,2011-03
094-006705,Female,Neutered,2011-05
094-006715,Female,Neutered,2011-06
094-006717,Male,Neutered,2012-01
094-006726,Female,Neutered,2011-05
094-006733,Male,Intact,2011-06
094-006788,Female,Intact,2011-04
094-006816,Female,Neutered,2011-08
094-006825,Female,Neutered,2011-08
094-006838,Female,Neutered,2012-02
094-006875,Male,Neutered,2012-09
094-006914,Male,Intact,2011-08
094-006944,Male,Neutered,2011-06
094-006948,Male,Intact,2011-06
094-006964,Male,Intact,2012-07
094-007001,Female,Neutered,2011-08
094-007075,Male,Neutered,2012-10
094-007081,Female,Neutered,2011-03
094-007082,Female,Neutered,2011-03
094-007087,Male,Neutered,2012-11
094-007110,Male,Intact,2011-06
094-007127,Female,Neutered,2011-12
094-007137,Female,Neutered,2012-01
094-007140,Female,Neutered,2012-02
094-007184,Male,Neutered,2012-06
094-007187,Female,Neutered,2012-06
094-007195,Female,Neutered,2011-06
094-007232,Male,Neutered,2012-04
094-007238,Male,Neutered,2011-07
094-007254,Male,Intact,2012-11
094-007258,Male,Neutered,2012-04
094-007268,Male,Neutered,2012-06
094-007275,Male,Neutered,2011-07
094-007276,Female,Neutered,2011-07
094-007284,Male,Neutered,2012-07
094-007286,Female,Intact,2011-12
094-007294,Female,Neutered,2011-05
094-007308,Female,Neutered,2012-02
094-007328,Female,Neutered,2012-01
094-007422,Female,Neutered,2012-03
094-007457,Female,Neutered,2012-12
094-007463,Female,Neutered,2012-02
094-007477,Male,Intact,2011-09
094-007510,Male,Intact,2011-11
094-007511,Female,Neutered,2012-12
094-007529,Female,Neutered,2012-03
094-007541,Male,Intact,2012-03
094-007547,Female,Neutered,2012-10
094-007552,Male,Neutered,2011-05
094-007574,Male,Intact,2012-08
094-007592,Male,Neutered,2011-05
094-007606,Male,Neutered,2012-03
094-007616,Male,Neutered,2011-12
094-007628,Male,Neutered,2012-02
094-007633,Male,Neutered,2012-08
094-007635,Female,Neutered,2012-04
094-007639,Female,Neutered,2012-01
094-007647,Female,Neutered,2012-08
094-007658,Female,Neutered,2011-08
094-007675,Male,Intact,2012-03
094-007685,Male,Neutered,2011-10
094-007722,Female,Neutered,2012-04
094-007745,Female,Neutered,2011-05
094-007755,Female,Neutered,2012-05
094-007801,Male,Neutered,2012-03
094-007817,Male,Intact,2011-10
094-007853,Male,Neutered,2012-12
094-007869,Female,Neutered,2012-07
094-007875,Male,Neutered,2012-01
094-007878,Male,Intact,2011-03
094-007880,Male,Neutered,2011-03
094-007882,Female,Neutered,2011-08
094-007915,Female,Neutered,2012-01
094-007923,Male,Intact,2011-04
